Localização,Inventário,Denominação do Imobilizado,Item Consumível Similar,Percentagem de Similaridade (%),Data Incorporação,Justificativa de Reprova
1.01 BRÁS,4563,ESTANTE DE ACO BERNARDINI,"LONGARINA EM AÇO 2,30M PARA ESTANTE",35.0%,1953-01-01 00:00:00,"MANTER: Baixa similaridade (35.0%) com consumível 'LONGARINA EM AÇO 2,30M PARA ESTANTE...'. Provavelmente corretamente classificado."
1.01 BRÁS,647853,BANQUETA GIRATORIA ALBERFORT MOD.8003,BASE GIRATÓRIA P/MODELAGEM,27.1%,1998-12-31 00:00:00,MANTER: Similaridade muito baixa (27.1%). Mantém como patrimônio.
1.01 BRÁS,480534,CADEIRA P/SALA DE AULA CARVALHO DC-1119,CADEIRA FIXA P/SALA DE AULA - AZUL,51.1%,1987-09-30 00:00:00,AVALIAR: Similaridade moderada (51.1%) com consumível 'CADEIRA FIXA P/SALA DE AULA - AZUL...'. Possível reclassificação.
1.01 BRÁS,523008,CADEIRA P/SALA DE AULA DC 1307,CADEIRA FIXA P/SALA DE AULA - AZUL,57.3%,1990-02-28 00:00:00,AVALIAR: Similaridade moderada (57.3%) com consumível 'CADEIRA FIXA P/SALA DE AULA - AZUL...'. Possível reclassificação.
1.01 BRÁS,593548,CADEIRA P/SALA DE AULA DC-1307,CADEIRA FIXA P/SALA DE AULA - AZUL,57.3%,1993-12-31 00:00:00,AVALIAR: Similaridade moderada (57.3%) com consumível 'CADEIRA FIXA P/SALA DE AULA - AZUL...'. Possível reclassificação.
1.01 BRÁS,602801,CADEIRA P/ SALA DE AULA DC-1307,CADEIRA FIXA P/SALA DE AULA - AZUL,57.3%,1994-05-31 00:00:00,AVALIAR: Similaridade moderada (57.3%) com consumível 'CADEIRA FIXA P/SALA DE AULA - AZUL...'. Possível reclassificação.
1.01 BRÁS,570837,ARMARIO P/FERRAM.C/RODAS SANCHES BLANES,ARMÁRIO P/FERRAMENTAS DC-1674,28.5%,1992-04-30 00:00:00,MANTER: Similaridade muito baixa (28.5%). Mantém como patrimônio.
1.01 BRÁS,586796,ARMARIO P/FERRAM MARCA:S. BLANES DELTA,CARRINHO PLÁST.P/FERRAM.C/3 BANDEJAS,28.5%,1993-09-30 00:00:00,MANTER: Similaridade muito baixa (28.5%). Mantém como patrimônio.
1.01 BRÁS,647951,ARMARIO 900X1061X400MM COM 2 PRATELEIRAS,ARMÁRIO COM NICHOS,32.0%,1998-12-31 00:00:00,MANTER: Baixa similaridade (32.0%) com consumível 'ARMÁRIO COM NICHOS...'. Provavelmente corretamente classificado.
1.01 BRÁS,647952,ARMARIO 900X1061X400MM COM 2 PRATELEIRAS,ARMÁRIO COM NICHOS,32.0%,1998-12-31 00:00:00,MANTER: Baixa similaridade (32.0%) com consumível 'ARMÁRIO COM NICHOS...'. Provavelmente corretamente classificado.
1.01 BRÁS,653198,ARMARIO C/2PRATELEIRAS MARCA MCA 1013,ARMÁRIO P/FERRAMENTAS DC-1674,26.4%,1999-11-30 00:00:00,MANTER: Similaridade muito baixa (26.4%). Mantém como patrimônio.
1.01 BRÁS,655503,BANCO GIRATORIO REGULAVEL 440MM DC 1139,ESTOFADO ENCOSTO BANCO SUPINO REGULÁVEL,31.3%,1999-12-31 00:00:00,MANTER: Baixa similaridade (31.3%) com consumível 'ESTOFADO ENCOSTO BANCO SUPINO REGULÁVEL...'. Provavelmente corretamente classificado.
1.01 BRÁS,190793,CADEIRA 540 COURVIN PRETO,ENCOSTO P/ CADEIRA DE CORINO PRETO,44.0%,1969-01-01 00:00:00,AVALIAR: Similaridade moderada (44.0%) com consumível 'ENCOSTO P/ CADEIRA DE CORINO PRETO...'. Possível reclassificação.
1.01 BRÁS,316094,BANCADA P/AJUSTADOR DC 761,BANCADA DE ARDÓSIA M²,34.5%,1977-02-28 00:00:00,MANTER: Baixa similaridade (34.5%) com consumível 'BANCADA DE ARDÓSIA M²...'. Provavelmente corretamente classificado.
1.01 BRÁS,332754,ESCADA DE 5 DEGRAUS,ESCADA ALUMINIO 5 DEGRAUS,69.8%,1978-04-30 00:00:00,RECLASSIFICAR: Alta similaridade (69.8%) com consumível 'ESCADA ALUMINIO 5 DEGRAUS...'. Forte indicação de má classificação.
1.01 BRÁS,465103,BANCADA C/ARMARIO SECURIT,BANCADA DE TRABALHO,33.9%,1985-12-31 00:00:00,MANTER: Baixa similaridade (33.9%) com consumível 'BANCADA DE TRABALHO...'. Provavelmente corretamente classificado.
1.01 BRÁS,465104,BANCADA C/ARMARIO SECURIT,BANCADA DE TRABALHO,33.9%,1985-12-31 00:00:00,MANTER: Baixa similaridade (33.9%) com consumível 'BANCADA DE TRABALHO...'. Provavelmente corretamente classificado.
1.01 BRÁS,518470,BANCADA P/MAQ FURAR LIMAR,BANCADA DE TRABALHO,30.4%,1989-11-30 00:00:00,MANTER: Baixa similaridade (30.4%) com consumível 'BANCADA DE TRABALHO...'. Provavelmente corretamente classificado.
1.01 BRÁS,524038,ESCADA DE 7 DEGRAUS DC 1207,ESCADA DE ALUMÍNIO 3 DEGRAUS,54.6%,1990-03-31 00:00:00,AVALIAR: Similaridade moderada (54.6%) com consumível 'ESCADA DE ALUMÍNIO 3 DEGRAUS...'. Possível reclassificação.
1.01 BRÁS,593290,CADEIRA P/SALA DE AULA DC-1307,CADEIRA FIXA P/SALA DE AULA - AZUL,57.3%,1993-12-31 00:00:00,AVALIAR: Similaridade moderada (57.3%) com consumível 'CADEIRA FIXA P/SALA DE AULA - AZUL...'. Possível reclassificação.
1.01 BRÁS,4568,ESTANTE DE ACO BERNARDINI,"LONGARINA EM AÇO 2,30M PARA ESTANTE",35.0%,1953-01-01 00:00:00,"MANTER: Baixa similaridade (35.0%) com consumível 'LONGARINA EM AÇO 2,30M PARA ESTANTE...'. Provavelmente corretamente classificado."
1.01 BRÁS,522724,CADEIRA P/REFEITORIO DC 1307,ADESIVO P/REFEITÓRIO,38.7%,1990-02-28 00:00:00,MANTER: Baixa similaridade (38.7%) com consumível 'ADESIVO P/REFEITÓRIO...'. Provavelmente corretamente classificado.
1.01 BRÁS,240097,BANCADA DC 761,BANCADA DE TRABALHO,41.5%,1971-10-31 00:00:00,AVALIAR: Similaridade moderada (41.5%) com consumível 'BANCADA DE TRABALHO...'. Possível reclassificação.
1.01 BRÁS,319139,POLTRONA ESTOFADA VINIL CASTOR GIROFLEX,POLTRONA EMPILHÁVEL POLIPROPILENO,25.8%,1977-01-01 00:00:00,MANTER: Similaridade muito baixa (25.8%). Mantém como patrimônio.
1.01 BRÁS,234363,ARMARIO BALCAO TIPO A 2393,PORTAS DE ALUMÍNIO P/ARMÁRIO BALCÃO,37.1%,1971-04-30 00:00:00,MANTER: Baixa similaridade (37.1%) com consumível 'PORTAS DE ALUMÍNIO P/ARMÁRIO BALCÃO...'. Provavelmente corretamente classificado.
1.01 BRÁS,332753,ESCADA DE 5 DEGRAUS,ESCADA ALUMINIO 5 DEGRAUS,69.8%,1978-04-30 00:00:00,RECLASSIFICAR: Alta similaridade (69.8%) com consumível 'ESCADA ALUMINIO 5 DEGRAUS...'. Forte indicação de má classificação.
1.01 BRÁS,511083,ESTANTE BIBLIOTECA DUPLA FACE SECURIT,TERMOCOLANTE DUPLA FACE,39.3%,1989-05-31 00:00:00,MANTER: Baixa similaridade (39.3%) com consumível 'TERMOCOLANTE DUPLA FACE...'. Provavelmente corretamente classificado.
1.01 BRÁS,511098,ESTANTE BIBLIOTECA DUPLA FACE SECURIT,TERMOCOLANTE DUPLA FACE,39.3%,1989-05-31 00:00:00,MANTER: Baixa similaridade (39.3%) com consumível 'TERMOCOLANTE DUPLA FACE...'. Provavelmente corretamente classificado.
1.01 BRÁS,513091,ESTANTE DE ACO 6 PRAT SOFIMA,ESTANTE DE PARAFUSOS,34.0%,1989-06-30 00:00:00,MANTER: Baixa similaridade (34.0%) com consumível 'ESTANTE DE PARAFUSOS...'. Provavelmente corretamente classificado.
1.01 BRÁS,523081,CADEIRA P/SALA DE AULA DC 1307,CADEIRA FIXA P/SALA DE AULA - AZUL,57.3%,1990-02-28 00:00:00,AVALIAR: Similaridade moderada (57.3%) com consumível 'CADEIRA FIXA P/SALA DE AULA - AZUL...'. Possível reclassificação.
1.01 BRÁS,597681,CARTEIRA P/SALA DE AULA DC-1117,CADEIRA FIXA P/SALA DE AULA - AZUL,41.0%,1994-03-31 00:00:00,AVALIAR: Similaridade moderada (41.0%) com consumível 'CADEIRA FIXA P/SALA DE AULA - AZUL...'. Possível reclassificação.
1.01 BRÁS,597533,CARTEIRA P/SALA DE AULA DC-1117,CADEIRA FIXA P/SALA DE AULA - AZUL,41.0%,1994-03-31 00:00:00,AVALIAR: Similaridade moderada (41.0%) com consumível 'CADEIRA FIXA P/SALA DE AULA - AZUL...'. Possível reclassificação.
1.01 BRÁS,637574,ESCADA ENCOSTO 11DEGRAUS 10004 EC FERGON,ESCADA DE CORDA DEGRAU MADEIRA,25.9%,1997-11-30 00:00:00,MANTER: Similaridade muito baixa (25.9%). Mantém como patrimônio.
1.01 BRÁS,355690,MOVEL AUXILIAR DUPLO SECURIT,RELÊ AUXILIAR DE PARTIDA,30.1%,1988-12-31 00:00:00,MANTER: Baixa similaridade (30.1%) com consumível 'RELÊ AUXILIAR DE PARTIDA...'. Provavelmente corretamente classificado.
1.01 BRÁS,570838,ARMARIO P/FERRAM.C/RODAS SANCHES BLANES,ARMÁRIO P/FERRAMENTAS DC-1674,28.5%,1992-04-30 00:00:00,MANTER: Similaridade muito baixa (28.5%). Mantém como patrimônio.
1.01 BRÁS,115202,BANCADA PARA FERRAMENTEIRO,BANCADA PARA FERRAMENTEIRO DC-1884,72.7%,1961-01-01 00:00:00,RECLASSIFICAR: Alta similaridade (72.7%) com consumível 'BANCADA PARA FERRAMENTEIRO DC-1884...'. Forte indicação de má classificação.
1.01 BRÁS,115204,BANCADA PARA FERRAMENTEIRO,BANCADA PARA FERRAMENTEIRO DC-1884,72.7%,1961-01-01 00:00:00,RECLASSIFICAR: Alta similaridade (72.7%) com consumível 'BANCADA PARA FERRAMENTEIRO DC-1884...'. Forte indicação de má classificação.
1.01 BRÁS,115205,BANCADA PARA FERRAMENTEIRO,BANCADA PARA FERRAMENTEIRO DC-1884,72.7%,1961-01-01 00:00:00,RECLASSIFICAR: Alta similaridade (72.7%) com consumível 'BANCADA PARA FERRAMENTEIRO DC-1884...'. Forte indicação de má classificação.
1.01 BRÁS,115206,BANCADA PARA FERRAMENTEIRO,BANCADA PARA FERRAMENTEIRO DC-1884,72.7%,1961-01-01 00:00:00,RECLASSIFICAR: Alta similaridade (72.7%) com consumível 'BANCADA PARA FERRAMENTEIRO DC-1884...'. Forte indicação de má classificação.
1.01 BRÁS,115208,BANCADA PARA FERRAMENTEIRO,BANCADA PARA FERRAMENTEIRO DC-1884,72.7%,1961-01-01 00:00:00,RECLASSIFICAR: Alta similaridade (72.7%) com consumível 'BANCADA PARA FERRAMENTEIRO DC-1884...'. Forte indicação de má classificação.
1.01 BRÁS,115209,BANCADA PARA FERRAMENTEIRO,BANCADA PARA FERRAMENTEIRO DC-1884,72.7%,1961-01-01 00:00:00,RECLASSIFICAR: Alta similaridade (72.7%) com consumível 'BANCADA PARA FERRAMENTEIRO DC-1884...'. Forte indicação de má classificação.
1.01 BRÁS,115224,BANCADA PARA FERRAMENTEIRO,BANCADA PARA FERRAMENTEIRO DC-1884,72.7%,1961-01-01 00:00:00,RECLASSIFICAR: Alta similaridade (72.7%) com consumível 'BANCADA PARA FERRAMENTEIRO DC-1884...'. Forte indicação de má classificação.
1.01 BRÁS,154700,BANCADA DE FERRAMENTEIRO,BANCADA PARA FERRAMENTEIRO DC-1884,69.4%,1966-01-01 00:00:00,RECLASSIFICAR: Alta similaridade (69.4%) com consumível 'BANCADA PARA FERRAMENTEIRO DC-1884...'. Forte indicação de má classificação.
1.01 BRÁS,154701,BANCADA DE FERRAMENTEIRO,BANCADA PARA FERRAMENTEIRO DC-1884,69.4%,1966-01-01 00:00:00,RECLASSIFICAR: Alta similaridade (69.4%) com consumível 'BANCADA PARA FERRAMENTEIRO DC-1884...'. Forte indicação de má classificação.
1.01 BRÁS,154702,BANCADA DE FERRAMENTEIRO,BANCADA PARA FERRAMENTEIRO DC-1884,69.4%,1966-01-01 00:00:00,RECLASSIFICAR: Alta similaridade (69.4%) com consumível 'BANCADA PARA FERRAMENTEIRO DC-1884...'. Forte indicação de má classificação.
1.01 BRÁS,157800,BANQUETA DE FERRO 70CM C ASSENTO MADEIR,ANTEPARO DE FERRO 70X30CM,26.9%,1967-01-01 00:00:00,MANTER: Similaridade muito baixa (26.9%). Mantém como patrimônio.
1.01 BRÁS,157802,BANQUETA DE FERRO 70CM C ASSENTO MADEIR,ANTEPARO DE FERRO 70X30CM,26.9%,1967-01-01 00:00:00,MANTER: Similaridade muito baixa (26.9%). Mantém como patrimônio.
1.01 BRÁS,157803,BANQUETA DE FERRO 70CM C ASSENTO MADEIR,ANTEPARO DE FERRO 70X30CM,26.9%,1967-01-01 00:00:00,MANTER: Similaridade muito baixa (26.9%). Mantém como patrimônio.
1.01 BRÁS,157804,BANQUETA DE FERRO 70CM C ASSENTO MADEIR,ANTEPARO DE FERRO 70X30CM,26.9%,1967-01-01 00:00:00,MANTER: Similaridade muito baixa (26.9%). Mantém como patrimônio.
1.01 BRÁS,157806,BANQUETA DE FERRO 70CM C ASSENTO MADEIR,ANTEPARO DE FERRO 70X30CM,26.9%,1967-01-01 00:00:00,MANTER: Similaridade muito baixa (26.9%). Mantém como patrimônio.
1.01 BRÁS,157810,BANQUETA DE FERRO 70CM C ASSENTO MADEIR,ANTEPARO DE FERRO 70X30CM,26.9%,1967-01-01 00:00:00,MANTER: Similaridade muito baixa (26.9%). Mantém como patrimônio.
1.01 BRÁS,157818,BANQUETA DE FERRO 70CM C ASSENTO MADEIR,ANTEPARO DE FERRO 70X30CM,26.9%,1967-01-01 00:00:00,MANTER: Similaridade muito baixa (26.9%). Mantém como patrimônio.
1.01 BRÁS,374579,BANCO P/CARTEIRA DE DESENHO A-2421,CARTEIRA P/OBESO,29.6%,1980-07-31 00:00:00,MANTER: Similaridade muito baixa (29.6%). Mantém como patrimônio.
1.01 BRÁS,376522,BANCADA P/FERRAMENTEIRO DC-863,BANCADA PARA FERRAMENTEIRO DC-1884,61.3%,1980-07-31 00:00:00,RECLASSIFICAR: Alta similaridade (61.3%) com consumível 'BANCADA PARA FERRAMENTEIRO DC-1884...'. Forte indicação de má classificação.
1.01 BRÁS,376523,BANCADA P/FERRAMENTEIRO DC-863,BANCADA PARA FERRAMENTEIRO DC-1884,61.3%,1980-07-31 00:00:00,RECLASSIFICAR: Alta similaridade (61.3%) com consumível 'BANCADA PARA FERRAMENTEIRO DC-1884...'. Forte indicação de má classificação.
1.01 BRÁS,376534,BANCADA P/FERRAMENTEIRO DC 863,BANCADA PARA FERRAMENTEIRO DC-1884,61.3%,1980-07-31 00:00:00,RECLASSIFICAR: Alta similaridade (61.3%) com consumível 'BANCADA PARA FERRAMENTEIRO DC-1884...'. Forte indicação de má classificação.
1.01 BRÁS,647852,BANQUETA GIRATORIA ALBERFORT MOD.8003,BASE GIRATÓRIA P/MODELAGEM,27.1%,1998-12-31 00:00:00,MANTER: Similaridade muito baixa (27.1%). Mantém como patrimônio.
1.01 BRÁS,647857,BANQUETA GIRATORIA ALBERFORT MOD.8003,BASE GIRATÓRIA P/MODELAGEM,27.1%,1998-12-31 00:00:00,MANTER: Similaridade muito baixa (27.1%). Mantém como patrimônio.
1.01 BRÁS,647859,BANQUETA GIRATORIA ALBERFORT MOD.8003,BASE GIRATÓRIA P/MODELAGEM,27.1%,1998-12-31 00:00:00,MANTER: Similaridade muito baixa (27.1%). Mantém como patrimônio.
1.01 BRÁS,647860,BANQUETA GIRATORIA ALBERFORT MOD.8003,BASE GIRATÓRIA P/MODELAGEM,27.1%,1998-12-31 00:00:00,MANTER: Similaridade muito baixa (27.1%). Mantém como patrimônio.
1.01 BRÁS,647864,BANQUETA GIRATORIA ALBERFORT MOD.8003,BASE GIRATÓRIA P/MODELAGEM,27.1%,1998-12-31 00:00:00,MANTER: Similaridade muito baixa (27.1%). Mantém como patrimônio.
1.01 BRÁS,647866,BANQUETA GIRATORIA ALBERFORT MOD.8003,BASE GIRATÓRIA P/MODELAGEM,27.1%,1998-12-31 00:00:00,MANTER: Similaridade muito baixa (27.1%). Mantém como patrimônio.
1.01 BRÁS,647867,BANQUETA GIRATORIA ALBERFORT MOD.8003,BASE GIRATÓRIA P/MODELAGEM,27.1%,1998-12-31 00:00:00,MANTER: Similaridade muito baixa (27.1%). Mantém como patrimônio.
1.01 BRÁS,157601,MESA P TESOURA ALAVANCA,"TESOURA 8""",38.3%,1967-01-01 00:00:00,"MANTER: Baixa similaridade (38.3%) com consumível 'TESOURA 8""...'. Provavelmente corretamente classificado."
1.01 BRÁS,323573,CADEIRA PROFISSIONAL CONCHA VERDE CLARO,ZIPER Nº 5 - VERDE CLARO,40.3%,1977-07-31 00:00:00,AVALIAR: Similaridade moderada (40.3%) com consumível 'ZIPER Nº 5 - VERDE CLARO...'. Possível reclassificação.
1.01 BRÁS,323579,CADEIRA PROFISSIONAL CONCHA VERDE CLARO,ZIPER Nº 5 - VERDE CLARO,40.3%,1977-07-31 00:00:00,AVALIAR: Similaridade moderada (40.3%) com consumível 'ZIPER Nº 5 - VERDE CLARO...'. Possível reclassificação.
1.01 BRÁS,323586,CADEIRA PROFISSIONAL CONCHA VERDE CLARO,ZIPER Nº 5 - VERDE CLARO,40.3%,1977-07-31 00:00:00,AVALIAR: Similaridade moderada (40.3%) com consumível 'ZIPER Nº 5 - VERDE CLARO...'. Possível reclassificação.
1.01 BRÁS,323587,CADEIRA PROFISSIONAL CONCHA VERDE CLARO,ZIPER Nº 5 - VERDE CLARO,40.3%,1977-07-31 00:00:00,AVALIAR: Similaridade moderada (40.3%) com consumível 'ZIPER Nº 5 - VERDE CLARO...'. Possível reclassificação.
1.01 BRÁS,323670,ESTANTE MOVEL SECURIT C/DUAS PRATELEIRA,ESTANTE MÓVEL ACERVO BIBLIOTECA CFP-7.92,32.7%,1977-07-31 00:00:00,MANTER: Baixa similaridade (32.7%) com consumível 'ESTANTE MÓVEL ACERVO BIBLIOTECA CFP-7.92...'. Provavelmente corretamente classificado.
1.01 BRÁS,543536,ARMARIO P/FERRAMENTAS 2M DC-810,ARMÁRIO P/FERRAMENTAS DC-1674,61.0%,1991-08-31 00:00:00,RECLASSIFICAR: Alta similaridade (61.0%) com consumível 'ARMÁRIO P/FERRAMENTAS DC-1674...'. Forte indicação de má classificação.
1.01 BRÁS,647809,MESA P/ SOLDA OXI ACETILENICA DC 886,ÓCULOS DE PROTEÇÃO SOLDA OXI-ACETILÊNICA,50.0%,1998-12-31 00:00:00,AVALIAR: Similaridade moderada (50.0%) com consumível 'ÓCULOS DE PROTEÇÃO SOLDA OXI-ACETILÊNICA...'. Possível reclassificação.
1.01 BRÁS,647810,MESA P/ SOLDA OXI ACETILENICA DC 886,ÓCULOS DE PROTEÇÃO SOLDA OXI-ACETILÊNICA,50.0%,1998-12-31 00:00:00,AVALIAR: Similaridade moderada (50.0%) com consumível 'ÓCULOS DE PROTEÇÃO SOLDA OXI-ACETILÊNICA...'. Possível reclassificação.
1.01 BRÁS,647811,MESA P/ SOLDA OXI ACETILENICA DC 886,ÓCULOS DE PROTEÇÃO SOLDA OXI-ACETILÊNICA,50.0%,1998-12-31 00:00:00,AVALIAR: Similaridade moderada (50.0%) com consumível 'ÓCULOS DE PROTEÇÃO SOLDA OXI-ACETILÊNICA...'. Possível reclassificação.
1.01 BRÁS,655499,BANCO GIRATORIO REGULAVEL 440MM DC 1139,ESTOFADO ENCOSTO BANCO SUPINO REGULÁVEL,31.3%,1999-12-31 00:00:00,MANTER: Baixa similaridade (31.3%) com consumível 'ESTOFADO ENCOSTO BANCO SUPINO REGULÁVEL...'. Provavelmente corretamente classificado.
1.01 BRÁS,655500,BANCO GIRATORIO REGULAVEL 440MM DC 1139,ESTOFADO ENCOSTO BANCO SUPINO REGULÁVEL,31.3%,1999-12-31 00:00:00,MANTER: Baixa similaridade (31.3%) com consumível 'ESTOFADO ENCOSTO BANCO SUPINO REGULÁVEL...'. Provavelmente corretamente classificado.
1.01 BRÁS,655501,BANCO GIRATORIO REGULAVEL 440MM DC 1139,ESTOFADO ENCOSTO BANCO SUPINO REGULÁVEL,31.3%,1999-12-31 00:00:00,MANTER: Baixa similaridade (31.3%) com consumível 'ESTOFADO ENCOSTO BANCO SUPINO REGULÁVEL...'. Provavelmente corretamente classificado.
1.01 BRÁS,655502,BANCO GIRATORIO REGULAVEL 440MM DC 1139,ESTOFADO ENCOSTO BANCO SUPINO REGULÁVEL,31.3%,1999-12-31 00:00:00,MANTER: Baixa similaridade (31.3%) com consumível 'ESTOFADO ENCOSTO BANCO SUPINO REGULÁVEL...'. Provavelmente corretamente classificado.
1.01 BRÁS,655504,BANCO GIRATORIO REGULAVEL 440MM DC 1139,ESTOFADO ENCOSTO BANCO SUPINO REGULÁVEL,31.3%,1999-12-31 00:00:00,MANTER: Baixa similaridade (31.3%) com consumível 'ESTOFADO ENCOSTO BANCO SUPINO REGULÁVEL...'. Provavelmente corretamente classificado.
1.01 BRÁS,655505,BANCO GIRATORIO REGULAVEL 440MM DC 1139,ESTOFADO ENCOSTO BANCO SUPINO REGULÁVEL,31.3%,1999-12-31 00:00:00,MANTER: Baixa similaridade (31.3%) com consumível 'ESTOFADO ENCOSTO BANCO SUPINO REGULÁVEL...'. Provavelmente corretamente classificado.
1.01 BRÁS,655507,BANCO GIRATORIO REGULAVEL 440MM DC 1139,ESTOFADO ENCOSTO BANCO SUPINO REGULÁVEL,31.3%,1999-12-31 00:00:00,MANTER: Baixa similaridade (31.3%) com consumível 'ESTOFADO ENCOSTO BANCO SUPINO REGULÁVEL...'. Provavelmente corretamente classificado.
1.01 BRÁS,655508,BANCO GIRATORIO REGULAVEL 440MM DC 1139,ESTOFADO ENCOSTO BANCO SUPINO REGULÁVEL,31.3%,1999-12-31 00:00:00,MANTER: Baixa similaridade (31.3%) com consumível 'ESTOFADO ENCOSTO BANCO SUPINO REGULÁVEL...'. Provavelmente corretamente classificado.
1.01 BRÁS,655509,BANCO GIRATORIO REGULAVEL 440MM DC 1139,ESTOFADO ENCOSTO BANCO SUPINO REGULÁVEL,31.3%,1999-12-31 00:00:00,MANTER: Baixa similaridade (31.3%) com consumível 'ESTOFADO ENCOSTO BANCO SUPINO REGULÁVEL...'. Provavelmente corretamente classificado.
1.01 BRÁS,655510,BANCO GIRATORIO REGULAVEL 440MM DC 1139,ESTOFADO ENCOSTO BANCO SUPINO REGULÁVEL,31.3%,1999-12-31 00:00:00,MANTER: Baixa similaridade (31.3%) com consumível 'ESTOFADO ENCOSTO BANCO SUPINO REGULÁVEL...'. Provavelmente corretamente classificado.
1.01 BRÁS,655511,BANCO GIRATORIO REGULAVEL 440MM DC 1139,ESTOFADO ENCOSTO BANCO SUPINO REGULÁVEL,31.3%,1999-12-31 00:00:00,MANTER: Baixa similaridade (31.3%) com consumível 'ESTOFADO ENCOSTO BANCO SUPINO REGULÁVEL...'. Provavelmente corretamente classificado.
1.01 BRÁS,655512,BANCO GIRATORIO REGULAVEL 440MM DC 1139,ESTOFADO ENCOSTO BANCO SUPINO REGULÁVEL,31.3%,1999-12-31 00:00:00,MANTER: Baixa similaridade (31.3%) com consumível 'ESTOFADO ENCOSTO BANCO SUPINO REGULÁVEL...'. Provavelmente corretamente classificado.
1.01 BRÁS,655513,BANCO GIRATORIO REGULAVEL 440MM DC 1139,ESTOFADO ENCOSTO BANCO SUPINO REGULÁVEL,31.3%,1999-12-31 00:00:00,MANTER: Baixa similaridade (31.3%) com consumível 'ESTOFADO ENCOSTO BANCO SUPINO REGULÁVEL...'. Provavelmente corretamente classificado.
1.01 BRÁS,655514,BANCO GIRATORIO REGULAVEL 440MM DC 1139,ESTOFADO ENCOSTO BANCO SUPINO REGULÁVEL,31.3%,1999-12-31 00:00:00,MANTER: Baixa similaridade (31.3%) com consumível 'ESTOFADO ENCOSTO BANCO SUPINO REGULÁVEL...'. Provavelmente corretamente classificado.
1.01 BRÁS,618181,ARMARIO 4 PRATELEIRAS SECURIT,ARMÁRIO COM FLOREIRA - SEDE,32.9%,1995-09-30 00:00:00,MANTER: Baixa similaridade (32.9%) com consumível 'ARMÁRIO COM FLOREIRA - SEDE...'. Provavelmente corretamente classificado.
1.01 BRÁS,653175,ARMARIO C/4 PRATELEIRAS 1014 MARCA MCA,ESTANTE ESCADA C/4 PRATELEIRAS,25.9%,1999-11-30 00:00:00,MANTER: Similaridade muito baixa (25.9%). Mantém como patrimônio.
1.01 BRÁS,643450,"MESA 1,20X0,73X0,74CM MA120 PROJETO",MESA EM ARDÓSIA,22.0%,1998-07-31 00:00:00,MANTER: Similaridade muito baixa (22.0%). Mantém como patrimônio.
1.01 BRÁS,20539,ARMARIO PARA TORNEIRO,ARMÁRIO COM NICHOS,38.7%,1956-05-31 00:00:00,MANTER: Baixa similaridade (38.7%) com consumível 'ARMÁRIO COM NICHOS...'. Provavelmente corretamente classificado.
1.01 BRÁS,502799,BANCADA P/DUROMETRO DC-884,BANCADA PARA FERRAMENTEIRO DC-1884,37.0%,1988-12-31 00:00:00,MANTER: Baixa similaridade (37.0%) com consumível 'BANCADA PARA FERRAMENTEIRO DC-1884...'. Provavelmente corretamente classificado.
1.01 BRÁS,146161,ARQUIVO DE FICHAS N 842207 MOD T 169,TRINCHA 1/2 MOD. 726,25.3%,1965-01-01 00:00:00,MANTER: Similaridade muito baixa (25.3%). Mantém como patrimônio.
1.01 BRÁS,157822,BANQUETA DE FERRO 70CM C ASSENTO MADEIR,ANTEPARO DE FERRO 70X30CM,26.9%,1967-01-01 00:00:00,MANTER: Similaridade muito baixa (26.9%). Mantém como patrimônio.
1.01 BRÁS,176854,MEIA BANCADA PARA TORNO,ESTRUTURA P/ MEIA BANCADA P/ TORNEIRO,48.7%,1968-06-30 00:00:00,AVALIAR: Similaridade moderada (48.7%) com consumível 'ESTRUTURA P/ MEIA BANCADA P/ TORNEIRO...'. Possível reclassificação.
1.01 BRÁS,176860,MEIA BANCADA PARA TORNO,ESTRUTURA P/ MEIA BANCADA P/ TORNEIRO,48.7%,1968-06-30 00:00:00,AVALIAR: Similaridade moderada (48.7%) com consumível 'ESTRUTURA P/ MEIA BANCADA P/ TORNEIRO...'. Possível reclassificação.
1.01 BRÁS,346930,ARMARIO P/COMPONENTES N.3,ARMÁRIO COM NICHOS,41.5%,1979-09-30 00:00:00,AVALIAR: Similaridade moderada (41.5%) com consumível 'ARMÁRIO COM NICHOS...'. Possível reclassificação.
1.01 BRÁS,346933,ARMARIO P/COMPONENTES N.3,ARMÁRIO COM NICHOS,41.5%,1979-09-30 00:00:00,AVALIAR: Similaridade moderada (41.5%) com consumível 'ARMÁRIO COM NICHOS...'. Possível reclassificação.
1.01 BRÁS,455184,CADEIRA PARA SALA DE AULA DC 1119,CADEIRA FIXA P/SALA DE AULA - AZUL,56.2%,1984-11-30 00:00:00,AVALIAR: Similaridade moderada (56.2%) com consumível 'CADEIRA FIXA P/SALA DE AULA - AZUL...'. Possível reclassificação.
1.01 BRÁS,455198,CADEIRA PARA SALA DE AULA DC 1119,CADEIRA FIXA P/SALA DE AULA - AZUL,56.2%,1984-11-30 00:00:00,AVALIAR: Similaridade moderada (56.2%) com consumível 'CADEIRA FIXA P/SALA DE AULA - AZUL...'. Possível reclassificação.
